43° 34.2' N    015° 56.5' E
43° 25.9' N    015° 54.1' E
43° 28.0' N    016° 5.6' E
43° 29.0' N    016° 10.5' E
43° 30.9' N    016° 14.4' E
43° 29.0' N    016° 10.5' E
43° 28.7' N    016° 8.0' E
43° 29.2' N    016° 6.8' E
43° 29.2' N    016° 6.8' E
43° 28.1' N    016° 6.9' E
43° 30.6' N    015° 54.1' E
43° 35.8' N    015° 41.4' E
43° 38.1' N    015° 41.2' E
43° 38.1' N    015° 41.2' E
43° 36.7' N    015° 39.9' E
43° 36.3' N    015° 40.0' E
43° 37.7' N    015° 35.9' E
43° 40.1' N    015° 43.6' E
43° 49.5' N    015° 33.9' E
43° 49.5' N    015° 35.4' E
43° 49.5' N    015° 35.4' E
43° 45.2' N    015° 36.7' E
43° 42.1' N    015° 45.8' E
43° 41.1' N    015° 45.7' E
43° 41.1' N    015° 45.7' E
43° 40.6' N    015° 46.4' E
43° 43.1' N    015° 50.9' E
43° 44.2' N    015° 53.2' E
43° 44.2' N    015° 53.2' E
43° 43.1' N    015° 50.9' E
43° 40.5' N    015° 53.0' E
43° 35.0' N    015° 53.8' E
43° 34.2' N    015° 56.5' E
